Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Protection Of Sensitive Personal Information Contained In Digital Files Held By Individuals With Homomorphic Encryption And AI Assistance","Villegas-Jimenez, E.A. (1); Romo-Cabrera, A. (1); Manzano-Calixto, M.A. (1); Tello-Aguilera, L.M. (1); Sanchez-Mata, A.K. (1); Robles-Guerrero, A. (1); Hernandez-Ruiz, P.M. (1) ","(1) Universidad Nacional Autonoma de Mexico, Facultad de Estudios Superiores Aragon, Mexico ","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","","IEEE, Piscataway, NJ, USA","","1-6","2025","","","","","979-8-3315-3559-9","10.1109/ICECET63943.2025.11472089","2025 5th International Conference on Electrical, Computer and Energy Technologies (ICECET)","2025","Paris, France","In today's digital landscape, the exchange of sensitive personal data via mobile devices is widespread, yet inadequate safeguards often expose users to risks such as identity theft and online harassment. This research introduces Kamplae, a system crafted in Python and deployed through a Flask-based REST API, employing homomorphic encryption and artificial intelligence to protect personal information embedded in digital images. Kamplae secures metadata and bitmap content in jpeg, jpg, and png formats, adhering to legal standards in Mexico and the European Union.The study reviews prior work on personal data protection and the challenges posed by deep fakes, emphasising the need for robust regulatory frameworks to counter digital violence. It explores various encryption methods—symmetric, asymmetric, and hybrid—alongside relevant legal provisions across regions.Kamplae aims to prevent image misuse and foster a secure, ethical digital environment. While promising, it highlights areas for enhancement, such as broader format support and user interface refinement, with limitations tied to specific format compatibility and mobile performance.",,,"application program interfaces - artificial intelligence - cryptography - data privacy - data protection - meta data - Python - user interfaces","AI assistance - artificial intelligence - bitmap content - deep fakes - digital files held - digital images - digital landscape - digital violence - ethical digital environment - European Union.The - Flask-based REST API - homomorphic encryption - hybrid—alongside relevant legal provisions - identity theft - image misuse - inadequate safeguards - Kamplae secures metadata - legal standards - mobile devices - mobile performance - online harassment - personal data protection - png formats - robust regulatory frameworks - secure environment - sensitive personal data - sensitive personal information contained - study reviews - user interface refinement","C5260B Computer vision and image processing techniques - B6120D Cryptography - C6130S Data security","H04L9/00 - G06T - G06F21/00 - G06F8/40","Practical (PRA)",,,,"Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Color Image Protection via Quantum Encryption and HVS-Based Mini-Block Data Hiding","Olvera-Martinez, Luis (1); Cedillo-Hernandez, Manuel (1); Diaz-Rodriguez, Carlos (1); Faustinos-Morales, Leonardo (2) ","(1) Mecánica y Eléctrica Unidad Culhuacan, Instituto Politécnico Nacional Escuela Superior de Ingeniería, CDMX, Mexico (2) Universidad Nacional Autónoma de Mexico, CDMX, Mexico ","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025","","Institute of Electrical and Electronics Engineers Inc.","","p 16-20","2025","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025","2025","","","9798331574420","10.1109/ICFSP67350.2025.11353827","10th International Conference on Frontiers of Signal Processing, ICFSP 2025","September 10, 2025 - September 12, 2025","","With the growing demand for secure and efficient digital image processing, the integration of data hiding and encryption techniques has become essential to ensure both confidentiality and integrity of visual information. This paper proposes a hybrid approach that combines a low complexity steganographic scheme for binary and color images with a computationally efficient encryption technique inspired by quantum operators. In the data hiding component, an RGB channel of a color image is selected, and its least significant bit plane is extracted. This bit plane is then divided into suitable blocks, and HVS-based encoding tables are used to embed the information within these blocks, achieving high embedding capacity while preserving visual quality. In parallel, the encryption stage operates on color images and is based on a novel operator model that simulates quantum behaviors such as creation, exchange, and annihilation, enabling effective protection without requiring intensive mathematical processing. Experimental validation confirms the robustness of the combined approach through quality metrics such as PSNR, SSIM and entropy. © 2025 IEEE.","17","Mathematical operators","Binary images - Embeddings - Information hiding - Privacy-preserving techniques - Quantum cryptography - RGB color model - Steganography","Braided quantum - Colour image - Data-hiding - Dynamic matrix - Encryption technique - Finite fields - Image protection - matrix - Quantum encryption - Quantum operators","741.1 Light/Optics - 1101 Artificial Intelligence - 1101.2 Machine Learning - 1106.3.1 Image Processing - 1106.9 Computer Software - 1108.2 Cryptography - 1201 Mathematics","",,"Number: -, Acronym: IPN, Sponsor: Instituto Polit&eacute;cnico Nacional; ","This article is funded by Instituto Polit\u00E9cnico Nacional.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Ownership Authentication and Clinical Data Backup in DICOM Images via Robust Watermarking and Binary Data Hiding","Lopez-Martinez, Angela Axin (1); Fragoso-Navarro, Eduardo (1); Cedillo-Hernandez, Manuel (1); Garcia-Ugalde, Francisco (2) ","(1) Instituto Politecnico Nacional, SEPI ESIME Culhuacan, CDMX, Mexico (2) Universidad Nacional Autonoma de Mexico, CDMX, Mexico ","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025","","Institute of Electrical and Electronics Engineers Inc.","","p 32-36","2025","2025 10th International Conference on Frontiers of Signal Processing, ICFSP 2025","2025","","","9798331574420","10.1109/ICFSP67350.2025.11353575","10th International Conference on Frontiers of Signal Processing, ICFSP 2025","September 10, 2025 - September 12, 2025","","Medical information is very important and delicate due to its relevance in clinical diagnosis, treatments, research and other commercial and non-commercial applications of governmental and private organizations. Recent advances in information and communication technologies have transformed the paradigm of medical data management, but also introduced new risks related to unauthorized access, manipulation, and distribution. To solve part of these problems, this paper proposes a method that employs two information security levels based on robust watermarking and binary data hiding, respectively. Firstly, clinical data is embedded into a logo using binary data hiding. Then, this logo is inserted into the spatial domain of a medical image through block segmentation, statistical information, and convolutional encoding for ownership authentication. Experimental results demonstrate logo robustness against JPEG DICOM compression in conjunction with aggressive attacks like cropping and copy-move, using bit error rate as a metric. The imperceptibility has been measured via peak signal-to-noise ratio and structural similarity index metrics. © 2025 IEEE.","17","Clinical research","Authentication - Bit error rate - Computer aided diagnosis - Convolution - Digital image storage - Digital Imaging and Communications in Medicine (DICOM) - Encoding (symbols) - Image compression - Information hiding - Information management - Medical computing - Medical image processing - Signal encoding","Authentication data - Binary data - Binary data hiding - Clinical data - Convolutional encoding - Data backups - Data-hiding - DICOM imaging - Ownership authentication - Robust watermarking","101.1 Biomedical Engineering - 102.1 Medicine - 102.1.2 Health Science - 716.1 Information Theory and Signal Processing - 902.2 Codes and Standards - 903 Information Science - 1103.1 Data Storage, Equipment and Techniques - 1103.4 Digital Computers and Systems - 1106.2 Data Handling and Data Processing - 1106.3 Digital Signal Processing - 1106.3.1 Image Processing - 1106.5 Computer Applications - 1106.9 Computer Software - 1108.1 Cybersecurity","",,"Number: -, Acronym: IPN, Sponsor: Instituto Polit&eacute;cnico Nacional; Number: -, Acronym: -, Sponsor: Secretar&iacute;a de Ciencia, Humanidades, Tecnolog&iacute;a e Innovaci&oacute;n; Number: -, Acronym: UNAM, Sponsor: Universidad Nacional Aut&oacute;noma de M&eacute;xico; ","Authors thanks the Instituto Politecnico Nacional (IPN) as well as the Secretaria de Ciencia, Humanidades, Tecnologia e Innovacion (SECIHTI) and in part by Universidad Nacional Autonoma de Mexico (UNAM), by the support provided during this research.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"A Protocol for Solving Certificate Poisoning for the OpenPGP Keyserver Network","Wolf, Gunnar (1); Ortega-Arjona, Jorge Luis (1) ","(1) Universidad Nacional Autónoma de México, Mexico ","Journal of Internet Services and Applications","","Brazilian Computing Society","v 15, n 1","p 46-58","March 4, 2024","","2024","18674828","18690238","","10.5753/JISA.2024.3810","","","","The OpenPGP encryption standard builds on a transitive trust distribution model for identity assertion, using a non-authenticated, distributed keyserver network for key distribution and discovery. An attack termed 'certificate poisoning', surfaced in 2019 and consisting in adding excessive trust signatures from inexistent actors to the victim key so that it is no longer usable, has endangered the continued operation of said keyserver network. In this article, we explore a protocol modification in the key acceptance and synchronization protocol termed First-party attested third-party certification that, without requiring the redeployment of updated client software, prevents the ill effects of certificate poisoning without breaking compatibility with the OpenPGP installed base. We also discuss some potential challenges and limitations of this approach, providing recommendations for its adoption. © 2024, Brazilian Computing Society. All rights reserved.","39","Cryptography",,"Certificate poisoning - Distributed trust - Distribution models - Encryption standards - KeyServer - OpenPGP - Transitive trust model - Transitive trusts - Trust models - Web of trust",,"",,,,"All Open Access, Gold, Green","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Tensorization of f-Divergences","Cruz, Rodrigo (1); Diaz, Mario (2); Calmon, Flavio P. (1) ","(1) Harvard University, Cambridge; MA, United States (2) Universidad Nacional Autónoma de México, Mexico City, Mexico ","IEEE International Symposium on Information Theory - Proceedings","Google; Nokia Bell Labs; Qualcomm; University of Michigan","Institute of Electrical and Electronics Engineers Inc.","","","2025","ISIT 2025 - 2025 IEEE International Symposium on Information Theory, Proceedings","2025","21578095","","9798331543990","10.1109/ISIT63088.2025.11195387","2025 IEEE International Symposium on Information Theory, ISIT 2025","June 22, 2025 - June 27, 2025","","In many applications across statistics, differential privacy, and machine learning, it is necessary to evaluate or bound an f-divergence between distributions of random vectors with independent components. Even for relatively simple distributions, such computations can become intractable unless the chosen f-divergence tensorizes. In this work, we introduce a formal definition of tensorization for f-divergences and present a necessary condition under which such tensorization can occur. Moreover, we demonstrate - under certain assumptions - that the only f-divergences admitting a polynomial tensorization formula of degree at most two are, essentially, the KL divergence, cross-entropy, and Hellinger divergences of order α. Taken together, our findings represent an initial step toward a complete characterization of f-divergences that tensorize. © 2025 IEEE.","22","Learning systems","Differential privacy - Independent component analysis","Condition - Differential privacies - F-divergence - Formal definition - Independent components - KL-divergence - Machine-learning - Random vectors - Simple++ - Tensorization","716.1 Information Theory and Signal Processing - 1101.2 Machine Learning - 1106.2 Data Handling and Data Processing - 1108.1 Cybersecurity - 1202 Statistical Methods","",,"Number: CIF 2312667,FAI 2040880,CIF 2231707, Acronym: NSF, Sponsor: National Science Foundation; Number: -, Acronym: NSF, Sponsor: National Science Foundation; ","The work of M. Diaz was supported in part by the Programa de Apoyo a Proyectos de Investigacion e Innovacion Tecnologica (PAPIIT) under grant IN103224. This material is based upon work supported by the National Science Foundation under grants CIF 2312667, FAI 2040880, CIF 2231707. The authors would like to acknowledge the use of ChatGPT (version o1, OpenAI) for proofreading, editing and formatting, which improved the clarity of this manuscript.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Q-COSMIC: Quantum Software Metrics Based on COSMIC (ISO/IEC19761)","Valdés-Souto, Francisco (1); Perez-Gonzalez, Hector G. (2); Perez-Delgado, Carlos A. (3) ","(1) Universidad Nacional Autónoma de México, Mexico City, Mexico (2) Universidad Autónoma de San Luis Potosí, San Luis Potosí, Mexico (3) University of Kent, School of Computing, Canterbury; CT2 7NF, United Kingdom ","arXiv","","arXiv","","","February 13, 2024","","2024","","23318422","","10.48550/arXiv.2402.08505","","","","Quantum engineering seeks to exploit quantum information to build, among others, computing, cybersecurity, and metrology technologies. Quantum Software Engineering (QSE) focuses on the information processing side of these technologies. Historically, quantum (software) engineering has focused on development in controlled research environments and 'in the small'. As the field progresses, we should expect to see more large-scale quantum systems to be deployed as 'real-world' products and services. An essential tool in (classical) software engineering and development has been software size metrics. Calculating/estimating the size of a piece of software, to be developed or pre-existing, is an essential step in its engineering. Quantum software will be no different. Here we introduce Q-COSMIC, a technique for measuring the functional size of quantum software, based on the well-regarded COSMIC standard (ISO/IEC19761) for classical software. © 2024, CC BY.","15","ISO Standards","Cosmology - Quantum optics - Software engineering","Cyber security - Large-scales - Product and services - Quantum engineering - Quantum Information - Quantum system - Real-world - Research environment - Software metrics - Software size","657.2 Extraterrestrial Physics and Stellar Phenomena - 723.1 Computer Programming - 741.1 Light/Optics - 902.2 Codes and Standards - 931.4 Quantum Theory; Quantum Mechanics","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Towards Stronger Blockchains: Security Against Front-Running Attacks","Misra, A. (1); Kshemkalyani, A.D. (1) ","(1) University of Illinois at Chicago, Chicago, IL, United States ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","171-87","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_11","International Conference on Networked Systems","2024","Rabat, Morocco","Blockchains add transactions to a distributed shared ledger by arriving at consensus on sets of transactions contained in blocks. This provides a total ordering on a set of global transactions. However, total ordering is not enough to satisfy application semantics under the Byzantine fault model. This is due to the fact that malicious miners and clients can collaborate to add their own transactions ahead of correct clients' transactions in order to gain application level and financial advantages. These attacks fall under the umbrella of front-running attacks. In this paper, we propose causality preserving total order as a solution to this problem. The resulting blockchains will be stronger than traditional consensus based blockchains and will provide enhanced security ensuring correct application semantics in a Byzantine setting.","33",,"blockchains - computer crime - computer network security","Byzantine fault model - Byzantine setting - causality preserving total order - correct application semantics - correct clients - distributed shared ledger - front-running attacks security - global transactions - malicious miners - resulting blockchains - towards stronger blockchains","B6120D Cryptography - C6130S Data security - C6160B Distributed databases - B6210L Computer communications - C7120 Financial computing","H04L9/00 - H04L12/28 - G06F21/00 - G06Q30/00 - G06Q40/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Digital governance in Latin America: A comprehensive analysis and future perspectives","Juárez-Merino, M.A. (1) ","(1) National Autonomous University of Mexico, Regional Center for Multidisciplinary Research, Mexico ","Journal of Smart Cities and Society","","SAGE Publications, USA","v 4, n 4","232-42","2025","","","2772-3585","","","10.1177/27723577251388360","","","","Digital transformation has become a decisive factor across many spheres of human life, from the most mundane activities to the modernization of the public sector. This phenomenon has a global impact, extending to regions such as Latin America, whose characteristics demand an in-depth study grounded in their specific context. In this article, we analyze—using a comparative and multidimensional approach—the evolution of digital governance in cities and regional governments, incorporating the experiences of Mexico City, Buenos Aires, and Santiago. We examine key dimensions such as citizen participation, interoperability, the digitization of administrative procedures, cybersecurity, digital education, and innovation in public administration. Furthermore, we explore the regulatory challenges and the opportunities that digital transformation offers to reduce bureaucracy, combat corruption, and promote social inclusion. The study employs a robust methodological framework based on semi-structured interviews, document analysis, a systematic literature review, and data triangulation, complemented by up-to-date sources from international organizations such as the OECD, ECLAC, the World Bank, CAF, and UNESCO.","34",,"data governance - government data processing - open systems - public administration - security of data","buenos aires - bureaucracy - CAF - citizen participation - combat corruption - cybersecurity - digital education - digital governance - digital transformation - document analysis - ECLAC - global impact - human life - international organizations - Latin America - methodological framework - Mexico city - multidimensional approach - OECD - public administration - public sector - regional governments - Santiago - UNESCO","E0400 Information technology - C6130S Data security - C6190 Distributed systems software - C7130 Public administration","G06Q50/26 - G06F21/00 - G06Q10/00 - G06F16/215","General or Review (GEN); Practical (PRA)",,,,"Inspec","Copyright 2026, The Institution of Engineering and Technology","Engineering Village"
"Some New Results With k -Set Agreement","Delporte-Gallet, C. (1); Fauconnier, H. (1); Safir, M. (1, 2) ","(1) Institut de Recherche en Informatique Fondamentale, France (2) Université Polytechnique Mohammed VI Benguerir, College of Computing, Morocco ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","83-99","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_5","International Conference on Networked Systems","2024","Rabat, Morocco","In this article, we investigate the solvability of k -set agreement among n processes in distributed systems prone to different types of process failures. k -set agreement allows each process to propose a value and decide a value such that at most k different values are decided by the correct processes, in such a way that, if all the correct processes propose the same value v , they will decide v . We specially explore two scenarios: synchronous message-passing systems prone to up to t Byzantine failures of processes, and asynchronous shared memory systems prone to up to t crash failures. Our goal is to address the gaps left by previous works [ 4 , 8 , 15 ] in these areas. In the message passing system with Byzantine failures we enrished the system with authentication, we present an algorithm that ensures k -set agreement in only two rounds, with no constraints on the number of faults t , with k determined as k ≥ ⌊n/n - t ⌋ + 1 , and an optimal algorihtm ensuring k -set agreement in t + 1 rounds for k ≥ ⌊n/n-t⌋. While in the crash asynchronous shared memory systems, we introduce an algorithm that ensure k -set agreement when n > 2 t for k ≥ ⌊ n-t/n-2t ⌋+1, and an impossibility result for k ≤ ⌊n-t/n-2t⌋-1 .","18",,"authorisation - message passing - shared memory systems","asynchronous shared memory systems - authentication - Byzantine failures - correct processes - distributed systems - k -set agreement - optimal algorihtm - synchronous message-passing systems","C5440 Multiprocessing systems - C6130S Data security","G06F15/16 - G06F21/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Optimising large-scale solar-based distributed energy generation systems in high-density urban areas: An integrated approach using geospatial and techno-economic modelling","Gonzalez-Carreon, K.M. (1, 2); García Kerdan, I. (3) ","(1) Universidad Nacional Autonoma de Mexico, Faculty of Engineering, Mexico (2) University of Southampton - Boldrewood Innovation Campus, Faculty of Engineering and Physical Sciences, United Kingdom (3) Tecnológico de Monterrey, School of Engineering and Science, Mexico ","Energy","","Elsevier B.V., Netherlands","v 327","136425","1 Jul. 2025","","","1873-6785","","","10.1016/j.energy.2025.136425","","","","Distributed Energy Systems (DES) can potentially reduce carbon emissions in urban areas; however, there is a need for more planning frameworks tailored to high-density urban areas with specific geographical and urban form conditions. This study proposes a methodology that integrates technical and economic criteria for assessing the feasibility of large-scale photovoltaic projects for DES in high-density residential areas over 15-years planning horizon. The objective is to address the challenge of integrating geospatial data and techno-economic criteria to optimise the utilisation of roof space for the installation of photovoltaic systems in urban areas. The authors propose an integral methodology that combines geospatial analysis with energy optimisation modelling to provide realistic energy planning solutions. Additionally, a weighted decision matrix evaluates key variables and determine the optimal scenario. The framework is applied to a case study of the Benito Juarez borough, a 27 km2 area in Mexico City, using 2019 as a base year. Results suggest that initially, installing systems in medium-sized buildings (3-10 floors) is advantageous starting in 2024, while installation for houses (1-2 floors) should begin by 2029. By utilising less than 10 % of the available roof area, a maximum installed capacity of 311 MW with 25 % energy autonomy is possible, while to reach 90 % autonomy, it is necessary to consider a system with storage capabilities. The implementation could represent applicable solutions, for instance, up to 5 % of the total installed capacity of the region's power system, allowing for a significant reduction of CO2 emissions and energy prices. The methodology offers a practical and systematic approach to assessing the best technological options for large-scale solar distributed systems in highly dense urban areas by considering geographical and technical constraints. Furthermore, the framework's multicriteria value analysis can help decision-makers weigh various options' pros and cons and make informed decisions. All rights reserved Elsevier.","83",,"building integrated photovoltaics - buildings (structures) - decision making - distributed power generation - geographic information systems - optimisation - power generation economics - power generation planning","available roof area - CO2/bin - dense urban areas - distributed energy generation systems - energy optimisation modelling - energy prices - geospatial data - high-density residential areas - high-density urban areas - integral methodology - integrated approach - large-scale photovoltaic projects - large-scale solar distributed systems - maximum installed capacity - medium-sized buildings - Mexico City - photovoltaic systems - planning frameworks - realistic energy planning solutions - specific geographical form conditions - techno-economic criteria - techno-economic modelling - urban form conditions","B0260 Optimisation techniques - B8110D Power system planning and layout - B8110B Power system management, operation and economics - B8120K Distributed power generation - B8250 Solar power stations and photovoltaic power systems - B8420 Solar cells and arrays - A8620Q Buildings (energy utilisation) - A8630J Photoelectric conversion; solar cells and arrays","H02S - H02J3/38","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
