Title,Author,Author affiliation,Source,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"User Perception and Evaluation of a Portrait Drawn by KUKA KR3 AGILUS Manipulator","Zagirov, A. (1); Chebotareva, E. (1); Osokin, S. (1); Li, H. (2); Magid, E. (1, 3) ","(1) Kazan Federal University, Intelligent Robotics Department, 35, Kremlevskaya St., Russia (2) Shanghai Jiao Tong University, Department of Instrument Science and Engineering, China (3) Tikhonov Moscow Institute of Electronics and Mathematics HSE University, School of Electronic Engineering, 34, Tallinskaya St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","45-58","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_4","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Creating an artistic portrait is considered one of the most complex areas of a generative art. Currently, generative artificial intelligence (AI) has made significant advancements in generating portraits of people based on photographic images. This has opened up new opportunities for utilizing AI achievements in robotic artistry. However, questions related to evaluation and human perception of such works, including their artistic value, remain open. In our work, we present experimental results of integrating the processing of human photographs using the generative model InstantID with a drawing robot and studying users' reactions to the obtained images. In our experiments, we generated graphic portraits of people and constructed their images using KUKA KR3 AGILUS robot. We then asked participants to rate the resulting portraits based on three parameters: similarity/recognition, beauty/aesthetics, and evoked emotions. The results of the experiments can be used in social robotics, including art therapy that involves social robots and human-robot interaction.","27",,"art - control engineering computing - generative AI - manipulators - social robots","AI achievements - artistic portrait - drawing robot - generative art - generative artificial intelligence - generative model InstantID - human perception - human photographs - human-robot interaction - KUKA KR3 AGILUS manipulator - KUKA KR3 AGILUS robot - photographic images - portrait drawn - robotic artistry - social robotics - user perception","C0240 Ergonomic aspects of computing - E2230 Robot and manipulator mechanics - C3390M Manipulators - C5260B Computer vision and image processing techniques - C6180R Human-robot interaction - C6264G Generative adversarial networks - C7420 Control engineering computing - C7820 Humanities computing","B25J - G06T - B25J13/00 - G05B15/00","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"From Production Logistics to Smart Manufacturing: The Vision for a New RoboCup Industrial League","Dissanayaka, Supun (1); Ferrein, Alexander (2); Hofmann, Till (3); Nakajima, Kosuke (4); Sanz-Lopez, Mario (5); Savage, Jesus (6); Swoboda, Daniel (3); Tschesche, Matteo (2); Uemura, Wataru (4); Viehmann, Tarik (3); Yasuda, Shohei (4) ","(1) King Mongkut’s Institute of Technology, Ladkrabang, Thailand (2) FH Aachen University of Applied Sciences, Germany (3) RWTH Aachen University, Germany (4) Ryukoku University, Japan (5) CNRS, University of Lille, France (6) National Autonomous University of Mexico, Mexico ","arXiv","arXiv","","","July 15, 2025","","2025","","23318422","","10.48550/arXiv.2507.11402","","","","","The RoboCup Logistics League is a RoboCup competition in a smart factory scenario that has focused on task planning, job scheduling, and multi-agent coordination. The focus on production logistics allowed teams to develop highly competitive strategies, but also meant that some recent developments in the context of smart manufacturing are not reflected in the competition, weakening its relevance over the years. In this paper, we describe the vision for the RoboCup Smart Manufacturing League, a new competition designed as a larger smart manufacturing scenario, reflecting all the major aspects of a modern factory. It will consist of several tracks that are initially independent but gradually combined into one smart manufacturing scenario. The new tracks will cover industrial robotics challenges such as assembly, human-robot collaboration, and humanoid robotics, but also retain a focus on production logistics. We expect the reenvisioned competition to be more attractive to newcomers and well-tried teams, while also shifting the focus to current and future challenges of industrial robotics. © 2025, CC BY-SA.","31","Multi agent systems","Anthropomorphic robots - Competition - Industrial robots - Smart manufacturing","Industrial robotics - Industry 5.0 - Jobs scheduling - Multi-agent coordinations - Production logistics - RoboCup - Robocup industrial - Scheduling agents - Smart manufacturing - Task planning","101.6.1 Robotic Assistants - 731.5 Robotics - 731.6 Robot Applications - 911.2 Industrial Economics - 913.4.1 Computer Aided Manufacturing - 1101 Artificial Intelligence - 1106.5 Computer Applications","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"System for Placing Seismic Sensors Based on Actions of UAVs Group with Optimized Flight Plan","Saveliev, A. (1); Anikin, D. (1); Ronzhin, A. (1); Erokhin, G. (2); Agafonov, V. (3) ","(1) St. Petersburg Federal Research Center, 39, 14th Line V.O., Russia (2) Immanuel Kant Baltic Federal University, 14, Alexandr Nevsky St., Russia (3) R-Sensors LLC, 4/1, Likhachevsky Av., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","334-43","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_25","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","A trajectory planning system for a group of unmanned aerial vehicles (UAVs) designed for seismic exploration tasks is proposed. The developed system is capable of efficiently allocating tasks and planning trajectories even considering large state spaces. The system has low computation cost, considers possible failures of UAVs in the group and provides online trajectory replanning in case of possible collisions. Series of experiments were conducted on real UAVs and in the Gazebo simulation environment, which demonstrated the computational efficiency of the system: the time for distributing tasks among UAVs was 0.007 s, and the maximum time for calculating one trajectory was 0.103 s. A comparison of the proposed solution with other methods for 7 UAVs showed that in terms of the total task completion time, the system outperformed the ECBS-TA method by 1% and the PC-TAFF method by 0.05%. In terms of individual mission execution time, the system surpassed the ECBS-TA method in 6 out of 7 UAVs and PC-TAFF in 2 out of 7 UAVs. The conducted tests demonstrated the effectiveness of the developed solution and the feasibility of its use.","25",,"autonomous aerial vehicles - mobile robots - path planning - trajectory control","ECBS-TA method - Gazebo simulation environment - low computation cost - online trajectory - optimized flight plan - planning trajectories - seismic exploration tasks - seismic sensors - tasks allocation - time 0.007 s - time 0.103 s - total task completion time - trajectory planning system - UAVs group - unmanned aerial vehicles","C3120C Spatial variables control - C3360L Aerospace control - C3390C Mobile robots","G05D3/00 - G05D1/00 - B60W30/095","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"The human in the loop Perspectives and challenges for RoboCup 2050","Rossi, Alessandra (1, 2); Paetzel-Prüsmann, Maike (3); Keijsers, Merel (4); Anderson, Michael (5); Anderson, Susan Leigh (6); Barry, Daniel (2); Gutsche, Jan (7); Hart, Justin (8); Iocchi, Luca (9); Kokkelmans, Ainse (10); Kuijpers, Wouter (10); Liu, Yun (11); Polani, Daniel (2); Roscon, Caleb (12); Scheunemann, Marcus (2); Stone, Peter (8, 13); Vahl, Florian (7); van de Molengraft, René (10); von Stryk, Oskar (14) ","(1) University of Naples Federico II, Naples, Italy (2) University of Hertfordshire, Hertfordshire, United Kingdom (3) Independent Researcher, Zürich, Switzerland (4) John Cabot University, Rome, Italy (5) University of Hartford, Hartford, United States (6) University of Connecticut, Storrs, United States (7) University of Hamburg, Hamburg, Germany (8) University of Texas at Austin, Austin, United States (9) Sapienza University of Rome, Rome, Italy (10) Eindhoven University of Technology, Eindhoven, Netherlands (11) Zhejiang Lab, Hangzhou, China (12) Universidad Nacional Autonoma de Mexico, Mexico City, Mexico (13) Sony AI, Tokyo, Japan (14) Technische Universität Darmstadt, Darmstadt, Germany ","Autonomous Robots","Springer","v 48, n 2-3","","May 2024","","2024","09295593","15737527","","10.1007/s10514-024-10159-3","8","","","","Robotics researchers have been focusing on developing autonomous and human-like intelligent robots that are able to plan, navigate, manipulate objects, and interact with humans in both static and dynamic environments. These capabilities, however, are usually developed for direct interactions with people in controlled environments, and evaluated primarily in terms of human safety. Consequently, human-robot interaction (HRI) in scenarios with no intervention of technical personnel is under-explored. However, in the future, robots will be deployed in unstructured and unsupervised environments where they will be expected to work unsupervised on tasks which require direct interaction with humans and may not necessarily be collaborative. Developing such robots requires comparing the effectiveness and efficiency of similar design approaches and techniques. Yet, issues regarding the reproducibility of results, comparing different approaches between research groups, and creating challenging milestones to measure performance and development over time make this difficult. Here we discuss the international robotics competition called RoboCup as a benchmark for the progress and open challenges in AI and robotics development. The long term goal of RoboCup is developing a robot soccer team that can win against the world’s best human soccer team by 2050. We selected RoboCup because it requires robots to be able to play with and against humans in unstructured environments, such as uneven fields and natural lighting conditions, and it challenges the known accepted dynamics in HRI. Considering the current state of robotics technology, RoboCup’s goal opens up several open research questions to be addressed by roboticists. In this paper, we (a) summarise the current challenges in robotics by using RoboCup development as an evaluation metric, (b) discuss the state-of-the-art approaches to these challenges and how they currently apply to RoboCup, and (c) present a path for future development in the given areas to meet RoboCup’s goal of having robots play soccer against and with humans by 2050. © The Author(s) 2024.","98","Human robot interaction","Intelligent robots - Machine design - Man machine systems - Sports","'current - Direct interactions - Human like - Human-in-the-loop - Humans-robot interactions - RoboCup - Robotic benchmarking - Robotics competitions - Soccer robotic competition - Soccer team","601 Mechanical Design - 731.5 Robotics - 731.6 Robot Applications","",,"Number: -, Acronym: MIUR, Sponsor: Ministero dell&rsquo;Istruzione, dell&rsquo;Universit&agrave; e della Ricerca; Number: CUP E65F21002920003, Acronym: -, Sponsor: -; Number: PE0000013, Acronym: -, Sponsor: -; ","This work has been supported by the Italian PON R &I 2014-2020 - REACT-EU (CUP E65F21002920003), and by the Italian Ministry for Universities and Research (MUR) under the grant FAIR (MUR: PE0000013)","All Open Access, Hybrid Gold, Green","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Tracking of Mobile Objects with an UAV and a DNN Controller","Francisco-Agustín, E. (1); Rodriguez-Gomez, G. (1); Martinez-Carranza, J. (1) ","(1) Instituto Nacional de Astrofísica Óptica y Electrónica, Mexico ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","320-33","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_24","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The success of the Ingenuity helicopter mission on Mars underscores the growing need for autonomous navigation technologies in Unmanned Aerial Vehicles (UAVs). However, detecting and tracking moving objects with unknown dynamics remains a challenge in planetary exploration. Current optimal control algorithms outperform classical controllers but struggle to generate control signals within the required operating time, leading to high computational costs. We propose a Deep Neural Network (DNN) architecture pre-trained with Model Predictive Control (MPC) for horizontal motion control, coupled with a Proportional-Integral-Derivative (PID) controller for the altitude and orientation of a UAV for mobile target tracking. This hybrid approach reduces computational costs, significantly improves the speed of control signal generation, and maintains performance similar to MPC even in scenarios where it was not trained on. In these cases, when the target vehicle increased its speed, the neural controller was able to follow it without the vehicle escaping the field of view. Control commands are computed from the estimated trajectory using visual information from RGB images and UAV states. Testing is conducted in Gazebo with the Parrot Bebop 2.0 and Husky Robot.","18",,"autonomous aerial vehicles - control engineering computing - control system synthesis - deep learning (artificial intelligence) - helicopters - image colour analysis - mobile robots - motion control - neurocontrollers - optimal control - path planning - predictive control - remotely operated vehicles - target tracking - three-term control","autonomous navigation technologies - Control commands - control signal generation - control signals - current optimal control algorithms outperform classical controllers - Deep Neural Network architecture pre-trained - DNN controller - high computational costs - horizontal motion control - Ingenuity helicopter mission - mobile objects - mobile target tracking - Model Predictive Control - MPC - neural controller - planetary exploration - Proportional-Integral-Derivative controller - required operating time - UAV states - unknown dynamics - Unmanned Aerial Vehicles","C1310 Control system analysis and synthesis methods - C1330 Optimal control - C1340N Neurocontrol - C3120C Spatial variables control - C3360L Aerospace control - C3390T Telerobotics - C3390C Mobile robots - C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing - C6264 Neural nets - C7420 Control engineering computing","G05D1/00 - G06T - G05D3/00 - G05B17/00 - G06N3/02 - G05B15/00 - G06N20/00 - B64C27/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Human-robot physical interaction system as a tool for neurocognitive stimulation in children with ADHD in Mexico","Aparicio-Juarez, J. (1); Dominguez-Ramirez, O.A. (1); Sepulveda-Cervantes, G. (2); Garcia-Blancas, J. (1); Ramirez-Zamora, J.D. (1); Escotto-Cordova, E.A. (3); Reyes-Hernandez, I. (4) ","(1) Autonomous University of the State of Hidalgo, Mexico (2) National Polytechnic Institute, Center for Technological Innovation and Development in Computing, Mexico (3) National Autonomous University of Mexico, Faculty of Higher Studies Zaragoza, Mexico (4) Autonomous University of the State of Hidalgo, Pachuca, Mexico ","2024 XXVI Robotics Mexican Congress (COMRob)","IEEE, Piscataway, NJ, USA","","39-46","2024","","","","","979-8-3315-3339-7","10.1109/COMRob64055.2024.10777441","","2024 XXVI Robotics Mexican Congress (COMRob)","2024","Torreon, Mexico","This research work promotes the use of an interactive virtual environment, with the purpose of strengthening neurocognitive stimulation in children with ADHD (Attention Deficit Hyperactivity Disorder), through a human-robot physical interaction system (HRpI); as well as establishing the conditions that allow the application of supervised and unsupervised machine learning techniques that favor diagnosis. Clinical evaluation strategies in care and treatment centers for neurodivergent children are based on the Diagnostic and Statistical Manual of Mental Disorders (DSM-5); however, not using integrated technological platforms with biofeedback and neurophysiological stimulation associated with each case study, which contributes to the improvement of the clinical procedure. The proposed HRpI system is constituted by a haptic device with the human operator (patient) in the control loop. The movement instructions are designed based on a clinical protocol that evaluates hand-eye coordination, based on virtual mazes to navigate with one or two upper limbs. The platform is configured with strategies: i) passive haptic guidance and ii) active haptic exploration. In the first case, the robot guides the human in the optimal solution, correcting the interactive forces that condition the presence of disturbances, and shape the required energy; and in the second case, the human voluntarily solves the maze, which implies that the velocity and instantaneous position are variable. Kinesthetic force feedback is based on a viscoelasticity model (spring-damper system) in both haptic interaction strategies. During the development of the task, the instrumentation of brain waves are correlated with the state of the robotic system (position, velocity, energy and instantaneous errors); all this for the evaluation of performance metrics that contribute to the diagnosis. The expected result corresponds to determining the engram in terms of duration and frequency in brain plasticity for self-regulation purposes of the neurodivergent patient; as well as its impact as a value proposition to the Continuous Improvement School Program (PEMC) of basic education institutions in Mexico.",,,"brain - educational institutions - force feedback - haptic interfaces - human-robot interaction - interactive systems - learning (artificial intelligence) - medical disorders - neurophysiology - patient treatment - psychology - virtual reality - viscoelasticity","ADHD - Attention Deficit Hyperactivity Disorder - clinical evaluation strategies - haptic interaction strategies - HRpI system - human operator - human-robot physical interaction system - interactive forces - interactive virtual environment - neurocognitive stimulation - neurodivergent children - neurophysiological stimulation - robotic system - spring-damper system","C0240 Ergonomic aspects of computing - C3385 Biological and medical control systems - C3390 Robotics - C5540B Interactive-input devices - C6130V Virtual reality - C6180R Human-robot interaction - C6180 User interfaces - C7330 Biology and medical computing - A8770G Patient care and treatment","B25J13/00 - G16B - G06F3/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Stabilizing Manipulator Trajectory via Collision-Aware Optimization","Rubleva, E. (1); Mironov, K. (1, 2); Panov, A. (1, 2, 3) ","(1) Moscow Institute of Physics and Technology, Russia (2) Artificial Intelligence Research Institute, Russia (3) Russian Academy of Sciences, 44/2 Vavilova St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","30-44","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_3","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","In this work, we develop an optimization-based solution for a manipulation planning among obstacles. This task is particularly challenging for collaborative manipulators when the operations include movements through the singular configurations. Trajectory optimization for this case requires a collision model, which allows converging to a valid solution from an invalid initial guess. By improving the initial trajectory approximation and optimizing collisions with advanced obstacle representation, it significantly enhances trajectory planning accuracy and efficiency. In our work, we propose a method based on the combining of obstacles. We use Octomap as the baseline (obstacles are represented as a set of cubes). This creates the need to calculate each cube when calculating the trajectory. Enlarging cubes to parallelepipeds allows one to obtain a collision-free trajectory faster. We have conducted a set of experiments with Octomap and with the representation of obstacles in the form of enlarged cubes. Experiments have shown that enlarging cubes to parallelepipeds reduces planning time and increases the success rate.","23",,"collision avoidance - manipulators - mobile robots - optimisation - path planning - robot vision - trajectory control","advanced obstacle representation - collaborative manipulators - collision model - collision-aware optimization - collision-free trajectory - cube - enlarged cubes - initial trajectory approximation - invalid initial guess - manipulation planning - manipulator trajectory - Octomap - optimization-based solution - optimizing collisions - singular configurations - trajectory optimization - trajectory planning accuracy - valid solution","C1180 Optimisation techniques - E2230 Robot and manipulator mechanics - C3120C Spatial variables control - C3390M Manipulators - C3390C Mobile robots - C5260B Computer vision and image processing techniques","G05D3/00 - G05D1/00 - B25J - G06T - B60W30/095 - B60W30/08 - G08G","Practical (PRA); Product review (PRO); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Method for Maximizing the Number of Detected Keypoints on Homogeneous Underlying Surfaces","Egorov, A. (1); Astapova, M. (1); Uzdiaev, M. (1) ","(1) FGBUN Sankt-Peterburgskij Federal'nyj issledovatel'skij centr Rossijskoj akademii nauk, St. Petersburg Federal Research Center of the Russian Academy of Sciences (SPC RAS), 39, 14th Line V.O., St. Petersburg, Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","240-50","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_18","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The developing area of unmanned aerial vehicle (UAV) applications states an urgent problem of positioning in the case of Global Satellite Positioning System (GNSS) or Gyro-Peak Navigation System (GNS) absence. The widespread visual SLAM positioning algorithms are based on the based on keypoints detection algorithms that process in most cases RGB images. However, in the case of processing images of homogeneous underlying surfaces (e.g., forests, deserts, water spaces, etc.), RGB data could be insufficient in terms of the small number of possible detecting keypoints. In this case, multispectral data that contain more electromagnetic radiation wavelengths bands, as well as spectral indices computed using combinations of spectral bands could be essential for effective processing of homogenous areas of the underlying surfaces in terms of keypoints detection. This paper is devoted to developing a novel method of search for a combination of spectral channels that provides the maximum number of detecting keypoints using pretrained DARKFEAT deep neural network on the image of homogeneous underlying surface. The results of the experiments have shown that the number of detected keypoints on average increased 1.44 times in the calculated index images compared to RGB images and, in turn, resulted in an average 1.592-fold increase in the number of keypoint matches in the current and previous images.","28",,"autonomous aerial vehicles - deep learning (artificial intelligence) - feature extraction - geophysical image processing - image colour analysis - image matching - mobile robots - robot vision - satellite navigation - SLAM (robots)","calculated index images - cases RGB images - detected keypoints - developing area - effective processing - electromagnetic radiation wavelengths bands - homogeneous underlying surface - homogenous areas - keypoint matches - keypoints detection algorithms that process - possible detecting keypoints - RGB data - spectral bands - underlying surfaces - unmanned aerial vehicle - widespread visual SLAM positioning algorithms","C3390T Telerobotics - C3390C Mobile robots - C5260B Computer vision and image processing techniques - B6135E Image recognition - B6135 Optical, image and video signal processing - C6264 Neural nets - A9385 Instrumentation and techniques for geophysical, hydrospheric and lower atmosphere research","G06T - G05D1/00 - G01V - G06N3/02 - G06N20/00 - G01S5/02 - G01S19/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Augmented Reality Interface for UR5e Robot that Transfers Parts to a Human in Collaborative Assembly","Mustafin, M. (1); Tsoy, T. (1); Bai, Y. (2); Svinin, M. (3); Chebotareva, E. (1) ","(1) Kazan Federal University, 35, Kremlyovskaya St., Russia (2) Osaka University, Graduate School of Information Science and Technology, 1-5 Yamada, Japan (3) Ritsumeikan University, College of Information Science and Engineering, 1-1-1 Noji-Higashi, Japan ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","1-14","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_1","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Collaborative assembly is one of the most common tasks in collaborative robotics, which requires an efficient, simple and user-friendly way of communication with a collaborative robot. This paper presents an augmented reality (AR) interface for controlling a UR5e robot in order to get assembly parts from a robot's desktop in a collaborative assembly process. This AR interface is based on the concept of a smart mirror that recognizes user's hand gestures as control signals. A goal of the study is to investigate user perception of a contactless interaction method with a collaborative robot UR5e using the proposed AR interface. The conducted experiments involved 15 participants who are not professional operators of robots and industrial manipulators. During the experiments, the participants demonstrated a quick adaptation and an evident interest to working side by side with the UR5e robot using the AR interface. Our results suggest that the developed AR interface is flexible, intuitive for an operator, scalable in terms of development for different cases of production goals and can be recommended for equipping a workcell for collaborative assembly of various products.","20",,"assembling - augmented reality - control engineering computing - gesture recognition - human computer interaction - industrial manipulators - robot vision","assembly parts - augmented reality interface - collaborative assembly process - collaborative robot UR5e - collaborative robotics - developed AR interface - UR5e Robot - UR5e robot","E1520C Assembling - E1550A Robotics - C3390M Manipulators - C5260B Computer vision and image processing techniques - C6130V Virtual reality - C6180R Human-robot interaction - C6180 User interfaces - C7420 Control engineering computing","B25J13/00 - B25J - G06T - G05B15/00 - G06V40/20","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Decentralized Unlabeled Multi-agent Navigation in Continuous Space","Dergachev, S. (1, 2); Yakovlev, K. (1, 2) ","(1) National Research University Higher School of Economics, 20 Myasnitskaya St., Russia (2) Russian Academy of Sciences, 44/2 Vavilova St., Russia ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","186-200","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_14","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","In this work, we study the problem where a group of mobile agents needs to reach a set of goal locations, but it does not matter which agent reaches a specific goal. Unlike most of the existing works on this topic that typically assume the existence of the centralized planner (or controller) and limit the agents' moves to a predefined graph of locations and transitions between them, in this work we focus on the decentralized scenarios, when each agent acts individually relying only on local observations/communications and is free to move in arbitrary direction at any time. Our iterative approach involves agents individually selecting goals, exchanging them, planning paths, and at each time step choose actions that balance between progressing along the paths and avoiding collisions. The proposed method is shown to be complete under specific assumptions on how agents progress towards their current goals, and our empirical evaluation demonstrates its superiority over a baseline decentralized navigation approach in success rate (i.e. is able to solve more problem instances under a given time limit) and a comparison with the centralized TSWAP algorithm reveals its efficiency in minimizing trajectory lengths for mission accomplishment.","20",,"graph theory - mobile agents - mobile robots - multi-agent systems - multi-robot systems - path planning","agents progress - arbitrary direction - avoiding collisions - baseline decentralized navigation approach - centralized planner - centralized TSWAP algorithm - continuous space - current goals - decentralized scenarios - given time limit - goal locations - iterative approach - mobile agents - multiagent navigation - predefined graph - specific assumptions - specific goal - transitions","C1160 Combinatorial mathematics - C1180 Optimisation techniques - C3120C Spatial variables control - C3390C Mobile robots","G05D1/00 - G05D3/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Robo-Surveillance of a Solar Park for a Workshop in Interdisciplinary Education","Arriola-Ríos, V.E. (1); Arzate Trujillo, R.C. (1); Franco Piña, J.A. (1); Maldonado Vázquez, A. (1); Del Moral Morales, F.E. (1); Liprandi Cortes, R. (1); Prado Oropeza, K.V. (1) ","(1) Universidad Nacional Autónoma de México, Mexico ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","116-30","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_9","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","The field of intelligent mobile robotics is highly interdisciplinary by nature, spanning interest from mechanical, electric, and electronic engineering to computer science, physics, cognition and neuroscience. Yet, there are few opportunities during undergraduate education to experience work and communication between students from these disciplines. For this reason, we devised a scenario where knowledge from these diverse disciplines could be demonstrated and used for experiments by students during a one-week workshop. This scenario consists of trials with two different robots. The first phase of the trials makes use of a simple differential robot where the basics of electronics, communications over WiFi and Bluetooth networks are taught. The second phase makes use of an omnidirectional robot whose task is to survey a solar park to detect dusty solar panels. Its job is only to navigate through the park detecting the panels and sending one photo of the panel to a nearby workstation. This workstation processes the images captured by the small robots to detect whether the panels in them are clean or dusty, using a U-net neural network. Here we report our experience on the first two editions of this interdisciplinary workshop.","14",,"Bluetooth - mobile robots - solar panels (photovoltaic)","cognition - computer science - diverse disciplines - dusty solar panels - electric, engineering - electronic engineering - experience work - intelligent mobile robotics - interdisciplinary education - interdisciplinary workshop - mechanical engineering - neuroscience - omnidirectional robot whose task - one-week workshop - panel - robo-surveillance - simple differential robot - solar park - U-net neural network - undergraduate education","C3120C Spatial variables control - C3390C Mobile robots - C5260B Computer vision and image processing techniques - B6135 Optical, image and video signal processing","G05D1/00 - G06T - G05D3/00 - H02S","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
"Prediction of Deformations on Elastic Objects Using an LSTM Model","Vazquez-Aguilar, L. (1); Arriola-Rios, V.E. (1) ","(1) Universidad Nacional Autónoma de México, Department of Mathematics, Mexico ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","Springer Nature, Berlin, Germany","","59-72","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_5","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","A volumetric deformable object does not have a fixed representation. Its contour changes as forces are applied on it. The number of distinctive traits like corners or points of high curvature are modified and the level of detail required for its description varies as its shape becomes simple or more intricate. Furthermore, the type of deformation it will undergo varies drastically depending on its material and original shape. For these reasons mobile robots face a challenging problem when on the need of manipulating everyday objects like toys, cushions or dishwashing sponges. In this paper we propose a Long Short-Term Memory (LSTM) neural network that learns to predict the deformation of the contour of an elastic object, taking as input the original contour and the sequence of position and force measurements of the robotic finger that interacts with it. Even though the representation of the contour we use is still of fixed length, our model makes reasonable predictions of deformation for interactions it has not seen before for the entire interaction and not only for the next frame as other models in the literature do. Also, since it uses only local information of pieces of the object, we envision that this work can be extended to cover the case of representations of varying length.","25",,"deformation - force measurement - learning (artificial intelligence) - manipulators - mobile robots - recurrent neural nets - robot vision","contour changes - cushions - description varies - dishwashing sponges - distinctive traits - elastic object - entire interaction - fixed length - fixed representation - force measurements - high curvature - Long Short-Term Memory neural network - LSTM model - manipulating everyday objects - original contour - reasonable predictions - reasons mobile robots - robotic finger - varying length - volumetric deformable object","C3120C Spatial variables control - C3390C Mobile robots - C3390M Manipulators - C5260B Computer vision and image processing techniques - C6264 Neural nets","G05D1/00 - G06N3/02 - G06T - B25J - G05D3/00 - G01L1/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
