Title,Author,Author affiliation,Source,Sponsor,Publisher/Repository,Volume and Issue,Pages,Issue date,Monograph title,Publication year,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Abstract,Number of references,Main Heading,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider
"Short Paper: An Efficient Framework for Supporting Nested Transaction in STMs","Ranjan, N. (1); Kapoor, R. (1); Peri, S. (1) ","(1) Indian Institute of Technology Hyderabad, India ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","204-10","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_13","","International Conference on Networked Systems","2024","Rabat, Morocco","Software Transactional Memory (STM) offers a promising avenue for simplifying the intricacies associated with concurrent programming. However, for an STM system to be truly effective, it must accommodate nesting, which will achieve composability and mitigate the extended vulnerability period associated with prolonged transactions. So far, a few protocols have been proposed for the nested STM system that supports nonlinear closed nesting. Either they do not provide any experimental evaluation of their protocol or provide concrete arguments for satisfying opacity, i.e., correctness criteria for the STM system. This paper introduces NestedBTO, an STM protocol tailored for closed nested transactions. Our protocol facilitates the parallel execution of child transactions and is based on timestamp ordering for transactions. Through extensive experimental evaluations, we observe a significant performance improvement compared to flat nesting and serial scheduling in microbenchmark scenarios involving a counter and hashtable. These findings underscore the efficacy of our implementation in optimizing transactional operations within the STM framework.","19",,"concurrency control - protocols - scheduling - transaction processing","child transactions - closed nested transactions - concurrent programming - experimental evaluation - extensive experimental evaluations - flat nesting - nested STM system - nested transaction - nonlinear closed nesting - optimizing transactional operations - parallel execution - software transactional memory - STM framework - STM protocol - supporting nested transaction - transactional operations","C6110P Parallel programming - C6150J Operating systems - C6190P Parallel software","G06F9/44 - G06F9/46 - H04L67/01","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Model proposal of libraries functions to implement open science: Analysis from Latin American librarianship","Peña, J.M.P. (1) ","(1) Universidad Nacional Autonoma de Mexico, Mexico ","IFLA Journal","","SAGE Publications, USA","v 51, n 1","46-60","March 2025","","","1745-2651","","","10.1177/03400352241276838","","","","","Libraries and open science are linked by common objectives, owing to libraries being actors that develop free access to information for many, and open science is an action that encourages free circulation of data and research outputs. Therefore both the actor and the action contribute to the satisfaction of information needs. The aim of this research is to analyze the actions that governments, universities and libraries have carried out to implement open science in Latin America, based on the analysis of factors and library functions. The methodology of this research comprised a bibliographic review and quantitative methods. For the exploratory analysis, the main sources for retrieval information were the official web portals of universities and library entities, the State of Open Data Policy Repository, the Registry of Research Data and the Dataverse Project. A general conclusion is that academic libraries are actors and laboratories with elements to support the implementation of open science.","65",,"academic libraries - information retrieval - information science - Internet - open data - portals","academic libraries - dataverse project - exploratory analysis - information retrieval - Latin American librarianship - library entities - library functions - open science - registry of research data - state of open data policy repository - Web portals","C6130 Data handling techniques - C7210N Information networks - C7250R Information retrieval techniques - C7250N Search engines - C7260 Information science education","G06F7/00 - G06F16/00","Bibliography (BIB); Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"The Hitchhiker's Guide to Conversational Interfaces: Exploring Affordances and Signifiers Through a Theoretical Framework","Sánchez-Adame, L.M. (1); Mendoza, S. (2) ","(1) Universidad Nacional Autonoma de Mexico, Design and Building Division, Mexico (2) National Polytechnic Institute, Computer Science Department, Av. Instituto Politécnico Nacional 2508, Mexico ","Human-Computer Interaction: Thematic Area, HCI 2025, Held as Part of the 27th HCI International Conference, HCII 2025. Lecture Notes in Computer Science (15769)","","Springer Nature, Berlin, Germany","","148-62","2025","","","","","978-3-031-93861-0","10.1007/978-3-031-93861-0_10","","International Conference on Human-Computer Interaction","2025","Gothenburg, Sweden","Conversational interfaces, including text-based chatbots and voice user interfaces, are widely used in healthcare, education, and customer service domains. However, they often rely on static affordances and signifiers that limit adaptability and user engagement. Existing systems struggle to evolve with user expertise, leading to discoverability, trust, and long-term usability issues. This paper proposes a theoretical framework that redefines affordances and signifiers as adaptive constructs, ensuring that interactions dynamically adjust based on user experience and context. The framework structures affordances into three levels—exploratory, learning, and proactive—while categorizing signifiers as explicit, contextual, and minimalist. By integrating these elements with the UX Honeycomb model, the framework provides a structured method for designing conversational interfaces that align with established user experience principles. A heuristic evaluation of Amazon Alexa demonstrates the framework's applicability, revealing that while Alexa effectively guides initial interactions, its affordance evolution remains primarily user-driven rather than system-driven. The analysis highlights key challenges in discoverability and engagement, emphasizing the need for structured affordance progression and enhanced contextual signifiers. This framework offers researchers a foundation for empirical studies on adaptive interaction models and provides developers with actionable insights for improving conversational system design.","27",,"chatbots - customer services - human computer interaction - user experience - user interfaces","adaptive interaction models - affordance evolution - conversational interfaces - conversational system design - customer service domains - hitchhiker - structured affordance progression - text-based chatbots - user engagement - user experience principles - UX Honeycomb model - voice user interfaces","C0240 Ergonomic aspects of computing - C6180N Natural language interfaces - C6264G Generative adversarial networks - C7820N Natural language processing","G06F40/00 - G06N3/0475","Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Q-COSMIC: Quantum Software Metrics Based on COSMIC (ISO/IEC19761)","Valdés-Souto, Francisco (1); Perez-Gonzalez, Hector G. (2); Perez-Delgado, Carlos A. (3) ","(1) Universidad Nacional Autónoma de México, Mexico City, Mexico (2) Universidad Autónoma de San Luis Potosí, San Luis Potosí, Mexico (3) University of Kent, School of Computing, Canterbury; CT2 7NF, United Kingdom ","arXiv","","arXiv","","","February 13, 2024","","2024","","23318422","","10.48550/arXiv.2402.08505","","","","","Quantum engineering seeks to exploit quantum information to build, among others, computing, cybersecurity, and metrology technologies. Quantum Software Engineering (QSE) focuses on the information processing side of these technologies. Historically, quantum (software) engineering has focused on development in controlled research environments and 'in the small'. As the field progresses, we should expect to see more large-scale quantum systems to be deployed as 'real-world' products and services. An essential tool in (classical) software engineering and development has been software size metrics. Calculating/estimating the size of a piece of software, to be developed or pre-existing, is an essential step in its engineering. Quantum software will be no different. Here we introduce Q-COSMIC, a technique for measuring the functional size of quantum software, based on the well-regarded COSMIC standard (ISO/IEC19761) for classical software. © 2024, CC BY.","15","ISO Standards","Cosmology - Quantum optics - Software engineering","Cyber security - Large-scales - Product and services - Quantum engineering - Quantum Information - Quantum system - Real-world - Research environment - Software metrics - Software size","657.2 Extraterrestrial Physics and Stellar Phenomena - 723.1 Computer Programming - 741.1 Light/Optics - 902.2 Codes and Standards - 931.4 Quantum Theory; Quantum Mechanics","",,,,,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"CSCW Contributions to Critical Futures of Work","Lushnikova, Alina (1); Muller, Michael (2); Bardzell, Shaowen (3); Li, Toby Jia-Jun (4); Savage, Saiph (5, 6) ","(1) University of Luxembourg, Esch-sur-Alzette, Luxembourg (2) IBM Research, Cambridge; MA, United States (3) Georgia Institute of Technology, Atlanta; GA, United States (4) University of Notre Dame, Notre Dame; IN, United States (5) Northeastern University, Boston; MA, United States (6) Universidad Nacional Autonoma de Mexico, Mexico City, Mexico ","Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW","ACM SIGCHI; Google; Media Futures; NSF; Underwood Institute","Association for Computing Machinery","","p 161-167","October 17, 2025","CSCW Companion 2025 - Companion of the Computer-Supported Cooperative Work and Social Computing","2025","","","9798400714801","10.1145/3715070.3748296","","28th ACM Conference on Computer-Supported Cooperative Work and Social Computing, CSCW 2025","October 18, 2025 - October 22, 2025","","As the CSCW community evolves and participates in envisioning the impact of technologies on the work practices, we want to ensure that critical and alternative computing perspectives are well represented while we are co-constructing the future of work. In this hybrid workshop, we invite researchers, practitioners, civic actors, economists, and other interested parties to challenge dominant, powerful, status-quo narratives and imaginaries when considering the future of work, nurturing the CSCW commitments and methods. Co-constructing the workshop with participants, we aim to develop actionable insights and strengthen the community. © 2025 Copyright held by the owner/author(s).","97","Personnel","Computer supported cooperative work - Employment - Human computer interaction - Human engineering - Interactive computer systems","Critical computing - CSCW - Diversity - Future of works - Imaginaries - Pluralism - Status quo - Work practices - Workers'","101.5 Ergonomics and Human Factors Engineering - 901 Engineering Profession - 912.3 Personnel - 1103.4 Digital Computers and Systems - 1106.5 Computer Applications - 1107 Human-Machine Systems","",,"Number: 2339443, Acronym: -, Sponsor: -; Number: IPBG2020/IS/14839977/C21, Acronym: FNRlu, Sponsor: Fonds National de la Recherche Luxembourg; Number: -, Acronym: FNRlu, Sponsor: Fonds National de la Recherche Luxembourg; ","This research has been supported by the NSF CAREER grant #2339443 and the Luxembourg National Research Fund (FNR) IPBG2020/IS/14839977/C21.",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Sharding in Permissionless Systems in Presence of an Adaptive Adversary","Anceaume, E. (1); Frey, D. (1); Rauch, A. (1) ","(1) University of Rennes, France ","Networked Systems: 12th International Conference, NETYS 2024, Proceedings. Lecture Notes in Computer Science (14783)","","Springer Nature, Berlin, Germany","","1-31","2024","","","","","978-3-031-67321-4","10.1007/978-3-031-67321-4_1","","International Conference on Networked Systems","2024","Rabat, Morocco","We present SplitChain, a protocol intended to support the creation of scalable proof-of-stake and account-based blockchains without undermining decentralization and security. This is achieved by using sharding, i.e. by splitting the blockchain into several lighter chains managed by their own disjoint sets of validators called shards. These shards balance the load by processing disjoint sets of transactions in parallel. SplitChain distinguishes itself from other sharded blockchains by reducing the synchronization constraints among shards while maintaining security guarantees in an asynchronous setting. A dedicated routing protocol enables transactions to be redirected between shards with a low number of hops and messages. Finally, the protocol is designed to dynamically adapt the number of shards to the system load to avoid over-dimensioning issues encountered in static sharding-based solutions.","11",,"blockchains - cryptocurrencies - cryptographic protocols - routing protocols - transaction processing","adaptive adversary - blockchain - disjoint sets - over-dimensioning issues avoidance - permissionless systems - sharded blockchains - SplitChain - static sharding-based solutions - validators","B6120D Cryptography - C6130S Data security - B6150P Communication network design, planning and routing - B6150M Protocols - C6160B Distributed databases - C7120 Financial computing","H04L9/00 - H04L67/01 - H04W16/00 - H04W40/00 - G06F21/00 - G06Q30/00 - G06Q40/00 - G06F9/44","Practical (PRA); Theoretical or Mathematical (THR)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Educational Chatbots: A Systematic Mapping Study","Urquiza-Yllescas, J.F. (1); Mendoza, S. (1); Sánchez-Adame, L.M. (2); Rodríguez, J. (1); Decouchant, D. (3) ","(1) Cinvestav, Computer Science Department, Mexico (2) Universidad Nacional Autonoma de Mexico, Design and Building Division, Mexico (3) Universidad Autónoma Metropolitana, Information Technologies Department, Mexico ","Journal of Intelligent & Fuzzy Systems: Applications in Engineering and Technology","","SAGE Publications, USA","v 49, n 4","960-90","Oct. 2025","","","1875-8967","","","10.1177/18758967251356870","","","","","Chatbots, text or voice software entities, are consolidating their position in the education sector, as they have gone from being rustic tools to systems that can take an active role in the teaching and learning process. That is why we decide to elaborate a Systematic Mapping Study of works that have been published on educational chatbots in the last years. Our analysis has four objectives: 1) to know the purpose of chatbots; 2) to identify the educational levels in which the chatbots are employed; 3) to examine which interaction mechanisms are implemented by chatbots; and 4) to explore which technologies and software architectures predominate in the development of educational chatbots. Following solid methodologies for systematic reviews, we compiled 104 papers. Through the analysis of these works, we obtained an overview that can be useful for both specialists and newcomers to the domain, as it helps them understand the existing trends in these applications. Additionally, the discussion extends into the disruptive impact of generative AI and outlines critical open research questions that guide future investigations in educational chatbot development.","182",,"chatbots - computer aided instruction - interactive systems - reviews - software architecture","education sector - educational chatbot development - educational chatbots - educational levels - Systematic Mapping Study","C6110B Software engineering techniques - C6180N Natural language interfaces - C6210 Knowledge based systems - C7810C Computer-aided instruction","G06N5/00 - G06F9/44 - G06F40/00 - G09B5/00","Bibliography (BIB); Practical (PRA)",,,,"Inspec","Copyright 2025, The Institution of Engineering and Technology","Engineering Village"
"Data-driven geothermal exploration using Machine learning applied to the Trans-Mexican Volcanic Belt Province","Prol-Ledesma, R.M. (1); Torres-Vera, M. (1); Hernandez-Leal, M.L. (2) ","(1) Universidad Nacional Autonoma de Mexico, Mexico (2) Université Toulouse III Paul Sabatier, France ","5th EAGE Global Energy Transition Conference and Exhibition, GET 2024","","European Association of Geoscientists and Engineers, EAGE","","","2024","5th EAGE Global Energy Transition Conference and Exhibition, GET 2024","2024","","","","10.3997/2214-4609.202421211","","5th EAGE Global Energy Transition Conference and Exhibition, GET 2024","November 4, 2024 - November 7, 2024","","Geothermal exploration is evolving towards a more quantitative evaluation of the reconnaissance and advanced exploration surveys using new data integration methods. Traditional knowledge-based methods are being displaced by data-driven methods introducing machine learning in the resource evaluation process. Here, the replacement of the knowledge-based by the data-driven methods is evaluated with the simultaneous application of both approaches to the Trans-Mexican Volcanic Belt Province and the comparison of the results obtained using the Boolean method and a data-driven Multilayer Neural Network analysis. © 2025 EAGE All Rights reserved.","13","Multilayer neural networks","Data assimilation - Data integration - Knowledge based systems - Learning systems - Machine learning","Data driven - Data-driven methods - Geothermal exploration - Integration method - Knowledge-based methods - Machine-learning - Quantitative evaluation - Resource evaluation - Traditional knowledge - Trans-Mexican Volcanic Belt","1101 Artificial Intelligence - 1101.1 Expert Systems - 1101.2 Machine Learning - 1106.2 Data Handling and Data Processing","",,"Number: -, Acronym: PAPD, Sponsor: Priority Academic Program Development of Jiangsu Higher Education Institutions; Number: -, Acronym: PLA, Sponsor: Public Library Association; ","This work was funded by Project PAPIIT, IN107223: "Implementación del análisis de PLAY FAIRWAY para la identificación de zonas geotérmicas en las provincias de vulcanismo intraplaca".",,"Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Advanced Algorithm Combinations for Safe Human-Robot Collaboration: A Review and Research Proposal","Lefranc, Gastón (1); Gatica, Gabriel (2); Vásquez, Edison (3); Peña, Mario (4) ","(1) Pontificia Universidad Católica de Valparaíso, Avda. Brasil2950, Valparaíso; 2430000, Chile (2) Startup I+D+i Inteligencia Artificial, ARTIFICYAN, Viña del Mar, Chile (3) JhedAI Startup., Viña del Mar, Chile (4) IIMAS-UNAM, Ciudad de México, Mexico ","Procedia Computer Science","","Elsevier B.V.","v 266","p 142-149","2025","12th International Conference on Information Technology and Quantitative Management, ITQM 2025","2025","","18770509","","10.1016/j.procs.2025.08.018","","12th International Conference on Information Technology and Quantitative Management, ITQM 2025","August 15, 2025 - August 17, 2025","","This paper presents a proposal for integrating Graph Convolutional Neural Network (Graph-CNN), Multimodal Transformer, Soft Actor-Critic with Reward Constrained Policy Optimisation (SAC-RCPO), and TactileGAN algorithms, which are used in human-robot collaboration. This integration addresses challenges such as adaptability, safety, intention recognition, and precise manipulation in dynamic environments. The central hypothesis is that the combination of these algorithms could lead to improvements in manipulation accuracy, collision avoidance, and training efficiency. The methodology evaluates this combination in simulated and controlled laboratory environments that replicate industrial situations. This work considers the human dimension of collaboration, emphasising the importance of interaction, user trust, and ergonomic integration. It also recognises the ethical implications related to safety, transparency, and the responsible implementation of Artificial Intelligence (AI) systems in shared workspaces. The proposed framework has potential applications in the manufacturing, healthcare, and service sectors, aiming to drive the practical adoption of safe and efficient collaborative robots. © 2025 The Authors.","14","Constrained optimization","Collaborative robots - Ergonomics - Graph algorithms - Human computer interaction - Intelligent robots - Man machine systems","Actor critic - Algorithm combinations - Convolutional neural network - Graph-CNN - Human-robot collaboration - Humans-robot interactions - Multi-modal - Multimodal transformer - Reinforcement learnings - Research proposals","101.5 Ergonomics and Human Factors Engineering - 101.6.1 Robotic Assistants - 731.5 Robotics - 731.6 Robot Applications - 1107 Human-Machine Systems - 1201.7 Optimization Techniques - 1201.8 Discrete Mathematics and Combinatorics, Includes Graph Theory, Set Theory","",,,,"All Open Access, Gold","Compendex","Compilation and indexing terms, Copyright 2026 Elsevier Inc.","Engineering Village"
"Augmented Reality Interface for UR5e Robot that Transfers Parts to a Human in Collaborative Assembly","Mustafin, M. (1); Tsoy, T. (1); Bai, Y. (2); Svinin, M. (3); Chebotareva, E. (1) ","(1) Kazan Federal University, 35, Kremlyovskaya St., Russia (2) Osaka University, Graduate School of Information Science and Technology, 1-5 Yamada, Japan (3) Ritsumeikan University, College of Information Science and Engineering, 1-1-1 Noji-Higashi, Japan ","Interactive Collaborative Robotics: 9th International Conference, ICR 2024, Proceedings. Lecture Notes in Computer Science, Lecture Notes in Artificial Intelligence (14898)","","Springer Nature, Berlin, Germany","","1-14","2024","","","","","978-3-031-71360-6","10.1007/978-3-031-71360-6_1","","International Conference on Interactive Collaborative Robotics","2024","Mexico City, Mexico","Collaborative assembly is one of the most common tasks in collaborative robotics, which requires an efficient, simple and user-friendly way of communication with a collaborative robot. This paper presents an augmented reality (AR) interface for controlling a UR5e robot in order to get assembly parts from a robot's desktop in a collaborative assembly process. This AR interface is based on the concept of a smart mirror that recognizes user's hand gestures as control signals. A goal of the study is to investigate user perception of a contactless interaction method with a collaborative robot UR5e using the proposed AR interface. The conducted experiments involved 15 participants who are not professional operators of robots and industrial manipulators. During the experiments, the participants demonstrated a quick adaptation and an evident interest to working side by side with the UR5e robot using the AR interface. Our results suggest that the developed AR interface is flexible, intuitive for an operator, scalable in terms of development for different cases of production goals and can be recommended for equipping a workcell for collaborative assembly of various products.","20",,"assembling - augmented reality - control engineering computing - gesture recognition - human computer interaction - industrial manipulators - robot vision","assembly parts - augmented reality interface - collaborative assembly process - collaborative robot UR5e - collaborative robotics - developed AR interface - UR5e Robot - UR5e robot","E1520C Assembling - E1550A Robotics - C3390M Manipulators - C5260B Computer vision and image processing techniques - C6130V Virtual reality - C6180R Human-robot interaction - C6180 User interfaces - C7420 Control engineering computing","B25J13/00 - B25J - G06T - G05B15/00 - G06V40/20","Practical (PRA)",,,,"Inspec","Copyright 2024, The Institution of Engineering and Technology","Engineering Village"
